13.3	-0.0327786
13.35	-0.0326717
13.4	-0.0325656
13.45	-0.0324601
13.5	-0.0323553
13.55	-0.0322512
13.6	-0.0321478
13.65	-0.032045
13.7	-0.0319429
13.75	-0.0318414
13.8	-0.0317405
13.85	-0.0316403
13.9	-0.0315407
13.95	-0.0314418
14	-0.0313434
14.05	-0.0312457
14.1	-0.0311486
14.15	-0.0310521
14.2	-0.0309561
14.25	-0.0308608
14.3	-0.030766
14.35	-0.0306719
14.4	-0.0305783
14.45	-0.0304852
14.5	-0.0303928
14.55	-0.0303008
14.6	-0.0302095
14.65	-0.0301187
14.7	-0.0300284
14.75	-0.0299387
14.8	-0.0298495
14.85	-0.0297608
14.9	-0.0296726
14.95	-0.029585
15	-0.0294979
15.05	-0.0294113
15.1	-0.0293252
15.15	-0.0292396
15.2	-0.0291545
15.25	-0.0290699
15.3	-0.0289858
15.35	-0.0289022
15.4	-0.028819
15.45	-0.0287363
15.5	-0.0286541
15.55	-0.0285724
15.6	-0.0284911
15.65	-0.0284103
15.7	-0.02833
15.75	-0.02825
15.8	-0.0281706
15.85	-0.0280916
15.9	-0.028013
15.95	-0.0279349
16	-0.0278572
16.05	-0.0277799
16.1	-0.0277031
16.15	-0.0276267
16.2	-0.0275507
16.25	-0.0274751
16.3	-0.0273999
16.35	-0.0273251
16.4	-0.0272508
16.45	-0.0271768
16.5	-0.0271033
16.55	-0.0270301
16.6	-0.0269574
16.65	-0.026885
16.7	-0.026813
16.75	-0.0267414
16.8	-0.0266702
16.85	-0.0265993
16.9	-0.0265289
16.95	-0.0264588
17	-0.026389
17.05	-0.0263197
17.1	-0.0262507
17.15	-0.026182
17.2	-0.0261137
17.25	-0.0260458
17.3	-0.0259782
17.35	-0.025911
17.4	-0.0258441
17.45	-0.0257776
17.5	-0.0257114
17.55	-0.0256456
17.6	-0.02558
17.65	-0.0255148
17.7	-0.02545
17.75	-0.0253855
17.8	-0.0253213
17.85	-0.0252574
17.9	-0.0251938
17.95	-0.0251306
18	-0.0250677
18.05	-0.025005
18.1	-0.0249427
18.15	-0.0248808
18.2	-0.0248191
18.25	-0.0247577
18.3	-0.0246966
18.35	-0.0246359
18.4	-0.0245754
18.45	-0.0245152
18.5	-0.0244553
18.55	-0.0243957
18.6	-0.0243364
18.65	-0.0242774
18.7	-0.0242186
18.75	-0.0241602
18.8	-0.024102
18.85	-0.0240441
18.9	-0.0239865
18.95	-0.0239292
19	-0.0238721
19.05	-0.0238153
19.1	-0.0237588
